"COMPANY","ITEM CODE","ITEM DESCRIPTION","SUPPLIER CODE","SUPPLIER NAME","REV","QTY","HSN","TRIGGER DT","DUE DT","LOT NO","PO NO","WAREHOUSE","TRIGGER TYPE","ASN","DUE MONTH"
"ELGI-HO","'035305428","AOS TANK INTL","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R00   ","1","84149019","16-DEC-2025","","969160","         ","","Non-lean","","DEC-25"
"ELGI-HO","'015402651","OIL FILL PLUG - 1INCH BSP","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R02   ","9","84149019","15-DEC-2025","30-JAN-2026","968801","         ","","Non-lean","","FEB-26"
"ELGI-HO","'020378910","AIR RECEIVER 420L SS10 M","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R03   ","1","73110090","25-NOV-2025","28-NOV-2025","1738295","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'015315217","AIR RECEIVER TANK 500L V3 SPVD","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R03   ","1","73110090","25-NOV-2025","27-NOV-2025","1738128","AAC015012","F.G TRADED PARTS - ROCD        [246]","Lean","",""
"ELGI-HO","'015315217","AIR RECEIVER TANK 500L V3 SPVD","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R03   ","1","73110090","22-NOV-2025","25-NOV-2025","1736583","AAC015012","F.G TRADED PARTS - ROCD        [246]","Lean","",""
"ELGI-HO","'015315217","AIR RECEIVER TANK 500L V3 SPVD","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R03   ","1","73110090","22-NOV-2025","25-NOV-2025","1736580","AAC015012","F.G TRADED PARTS - ROCD        [246]","Lean","",""
"ELGI-HO","'015315217","AIR RECEIVER TANK 500L V3 SPVD","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R03   ","1","73110090","22-NOV-2025","25-NOV-2025","1736584","AAC015012","F.G TRADED PARTS - ROCD        [246]","Lean","",""
"ELGI-HO","'015315217","AIR RECEIVER TANK 500L V3 SPVD","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R03   ","1","73110090","22-NOV-2025","25-NOV-2025","1736585","AAC015012","F.G TRADED PARTS - ROCD        [246]","Lean","",""
"ELGI-HO","'015315217","AIR RECEIVER TANK 500L V3 SPVD","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R03   ","1","73110090","22-NOV-2025","25-NOV-2025","1736582","AAC015012","F.G TRADED PARTS - ROCD        [246]","Lean","",""
"ELGI-HO","'015315217","AIR RECEIVER TANK 500L V3 SPVD","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R03   ","1","73110090","22-NOV-2025","25-NOV-2025","1736581","AAC015012","F.G TRADED PARTS - ROCD        [246]","Lean","",""
"ELGI-HO","'015323667","AOS TANK EG 75 -CRN","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R01   ","1","84149090","03-NOV-2025","24-MAR-2026","938477","230334554","ROCD - RAWMATEIRAL             [253]","Non-lean","","MAR-26"
"ELGI-HO","'02038047A","AIR REC ASSY, TS10LD AUS 500L","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R03   ","1","84149019","07-DEC-2025","24-DEC-2025","965987","330035937","RCD - RAWMATEIRAL              [353]","Non-lean","","DEC-25"
"ELGI-HO","'015322540","AIR OIL SEPARATOR TANK","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R00   ","1","84149019","06-NOV-2025","23-MAR-2026","943628","230334554","ROCD - RAWMATEIRAL             [253]","Non-lean","","MAR-26"
"ELGI-HO","'015322540","AIR OIL SEPARATOR TANK","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R00   ","2","84149019","03-NOV-2025","23-JAN-2026","937501","230334554","ROCD - RAWMATEIRAL             [253]","Non-lean","","JAN-26"
"ELGI-HO","'035305428","AOS TANK INTL","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R00   ","1","84149019","15-DEC-2025","22-DEC-2025","968824","         ","","Non-lean","","FEB-26"
"ELGI-HO","'015402651","OIL FILL PLUG - 1INCH BSP","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R02   ","8","84149019","15-DEC-2025","22-DEC-2025","968695","         ","","Non-lean","","JAN-26"
"ELGI-HO","'035305428","AOS TANK INTL","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R00   ","1","84149019","16-DEC-2025","22-DEC-2025","969269","         ","","Non-lean","","JAN-26"
"ELGI-HO","'015402651","OIL FILL PLUG - 1INCH BSP","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R02   ","2","84149019","16-DEC-2025","22-DEC-2025","969129","         ","","Non-lean","","DEC-25"
"ELGI-HO","'015315218","AIR RECEIVER TANK 500L V3 ASME","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R02   ","1","73:11:00.90","15-DEC-2025","20-JAN-2026","968693","         ","","Non-lean","","JAN-26"
"ELGI-HO","'020376420","REC AIR 500L TS10 DCI","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R05   ","1","73110090","03-DEC-2025","19-DEC-2025","964591","330035937","RCD - RAWMATEIRAL              [353]","Non-lean","401657639","DEC-25"
"ELGI-HO","'020230030","REC AIR 420L TS10120 HT","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R07   ","1","73110090","16-DEC-2025","19-DEC-2025","1759583","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'020230030","REC AIR 420L TS10120 HT","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R07   ","1","73110090","16-DEC-2025","19-DEC-2025","1760006","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'020230030","REC AIR 420L TS10120 HT","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R07   ","1","73110090","16-DEC-2025","19-DEC-2025","1759584","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'020230030","REC AIR 420L TS10120 HT","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R07   ","1","73110090","16-DEC-2025","19-DEC-2025","1759585","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'020230030","REC AIR 420L TS10120 HT","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R07   ","1","73110090","16-DEC-2025","19-DEC-2025","1760005","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'015324218","AOS TANK F5-F6 SUPER PREMIUM","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R03   ","1","84149019","17-DEC-2025","19-DEC-2025","1760907","AEP017080","ROCD - RAWMATEIRAL             [253]","Lean","",""
"ELGI-HO","'020377890","AIR RECEIVER 500 L, 15 BAR","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R01   ","1","73:11:00.00","16-DEC-2025","19-DEC-2025","1760017","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'020377890","AIR RECEIVER 500 L, 15 BAR","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R01   ","1","73:11:00.00","16-DEC-2025","19-DEC-2025","1760018","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'020370570","AIR RECEIVER 220 LITRES OF","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R12   ","1","73110090","16-DEC-2025","19-DEC-2025","1759594","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'020377890","AIR RECEIVER 500 L, 15 BAR","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R01   ","1","73:11:00.00","16-DEC-2025","19-DEC-2025","1760016","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'020377890","AIR RECEIVER 500 L, 15 BAR","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R01   ","1","73:11:00.00","16-DEC-2025","19-DEC-2025","1759617","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'02038156A","AIR REC ASSY - TS05/07 LD EUR","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R02   ","1","84149019","16-DEC-2025","19-DEC-2025","1759625","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'020370570","AIR RECEIVER 220 LITRES OF","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R12   ","1","73110090","16-DEC-2025","19-DEC-2025","1759595","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'020230030","REC AIR 420L TS10120 HT","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R07   ","1","73110090","16-DEC-2025","19-DEC-2025","1760003","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'020370570","AIR RECEIVER 220 LITRES OF","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R12   ","1","73110090","16-DEC-2025","19-DEC-2025","1759596","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'02038156A","AIR REC ASSY - TS05/07 LD EUR","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R02   ","1","84149019","16-DEC-2025","19-DEC-2025","1759626","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'020230030","REC AIR 420L TS10120 HT","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R07   ","1","73110090","16-DEC-2025","19-DEC-2025","1760004","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'020377890","AIR RECEIVER 500 L, 15 BAR","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R01   ","1","73:11:00.00","16-DEC-2025","19-DEC-2025","1760019","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'020377890","AIR RECEIVER 500 L, 15 BAR","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R01   ","1","73:11:00.00","16-DEC-2025","19-DEC-2025","1760015","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'020230030","REC AIR 420L TS10120 HT","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R07   ","1","73110090","16-DEC-2025","19-DEC-2025","1760007","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'020377890","AIR RECEIVER 500 L, 15 BAR","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R01   ","1","73:11:00.00","16-DEC-2025","19-DEC-2025","1759616","ARC015039","RCD - RAWMATEIRAL              [353]","Lean","",""
"ELGI-HO","'015315217","AIR RECEIVER TANK 500L V3 SPVD","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R03   ","1","73110090","14-NOV-2025","18-NOV-2025","1729888","AAC015012","F.G TRADED PARTS - ROCD        [246]","Lean","",""
"ELGI-HO","'015315217","AIR RECEIVER TANK 500L V3 SPVD","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R03   ","1","73110090","15-NOV-2025","18-NOV-2025","1730477","AAC015012","F.G TRADED PARTS - ROCD        [246]","Lean","",""
"ELGI-HO","'015315217","AIR RECEIVER TANK 500L V3 SPVD","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R03   ","1","73110090","14-NOV-2025","18-NOV-2025","1729889","AAC015012","F.G TRADED PARTS - ROCD        [246]","Lean","",""
"ELGI-HO","'015315217","AIR RECEIVER TANK 500L V3 SPVD","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R03   ","1","73110090","14-NOV-2025","18-NOV-2025","1729293","AAC015012","F.G TRADED PARTS - ROCD        [246]","Lean","",""
"ELGI-HO","'015315217","AIR RECEIVER TANK 500L V3 SPVD","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R03   ","1","73110090","14-NOV-2025","18-NOV-2025","1729292","AAC015012","F.G TRADED PARTS - ROCD        [246]","Lean","",""
"ELGI-HO","'015315217","AIR RECEIVER TANK 500L V3 SPVD","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R03   ","1","73110090","14-NOV-2025","18-NOV-2025","1729887","AAC015012","F.G TRADED PARTS - ROCD        [246]","Lean","",""
"ELGI-HO","'015315217","AIR RECEIVER TANK 500L V3 SPVD","SU1E00451","ELGI EQUIPMENTS LIMITED - PVD ","R03   ","1","73110090","14-NOV-2025","18-NOV-2025","1729294","AAC015012","F.G TRADED PARTS - ROCD        [246]","Lean","",""
